umap_1,umap_2,OmiqFilter
-4.8083,-9.0862,NK cells
-6.5413,2.9781,Non-Plasmablasts
4.3019,1.9281,CD4/Tcm
-7.9971,3.633,Non-Plasmablasts
3.9593,0.34616,CD4/Tem
-5.9939,3.7968,Non-Plasmablasts
-4.035,5.8692,Non-Plasmablasts
-2.9734,-5.4284,NK cells
-4.0522,-9.1184,NK cells
-10.708,-3.9275,Neutrophils
-1.8654,1.5648,Plasmablasts
2.2732,-7.4495,CD8/Temra
-7.1409,2.1962,Non-Plasmablasts
-5.0537,7.9557,Non-Plasmablasts
-7.3815,5.6226,Non-Plasmablasts
-2.9756,-5.788,NK cells
5.5286,-6.9542,CD8/Tem
-5.9353,2.5334,Non-Plasmablasts
8.863,1.6403,CD4/Tem
-4.1127,-8.0783,NK cells
7.7807,0.4551,CD4/Tem
3.1908,-12.165,CD8/Tnaive/Tn
-8.7377,6.7143,Non-Plasmablasts
3.9977,0.99445,CD4/Tem
3.2251,-12.988,CD8/Tnaive/Tn
-5.8595,6.8635,Non-Plasmablasts
3.1822,-7.6288,CD8/Tem
4.2014,-6.6338,CD8/Tem
4.1851,-7.3118,CD8/Tem
-3.7398,-8.7456,NK cells
2.0169,-7.7273,CD8/Temra
2.695,-7.5025,CD8/Tem
-7.4676,4.0123,Non-Plasmablasts
4.3295,0.38223,CD4/Tem
-1.9898,-6.4695,NK cells
1.4331,-8.3534,CD8/Temra
-7.5108,1.7149,Non-Plasmablasts
-4.2251,-7.9354,NK cells
2.3738,-8.3153,CD8/Temra
-7.0192,2.5013,Non-Plasmablasts
-7.5975,2.7329,Non-Plasmablasts
-1.9935,0.27338,DCs
-11.118,-3.5678,Neutrophils
5.0699,8.057,CD4/Tcm
-6.569,4.0736,Non-Plasmablasts
-3.4975,-8.3399,NK cells
3.0073,-7.5198,CD8/Tem
